player1_name,3pm,3pa,3p_pct
Reggie Miller,1318,3365,39.17
Terry Mills,284,726,39.12
Shandon Anderson,289,900,32.11
Bobby Phills,217,558,38.89
Lloyd Daniels,22,75,29.33
Eric Williams,194,605,32.07
Carl Herrera,2,6,33.33
Terry Cummings,4,7,57.14
Ledell Eackles,14,41,34.15
Acie Earl,0,4,0.0
Sharone Wright,0,1,0.0
George Lynch,129,403,32.01
Bobby Hurley,18,58,31.03
Lou Roe,3,11,27.27
Anthony Mason,2,10,20.0
Anthony Peeler,658,1701,38.68
Jayson Williams,0,10,0.0
Stacey Augmon,2,32,6.25
Tracy McGrady,1035,3110,33.28
Martin Muursepp,16,58,27.59
Cuonzo Martin,0,2,0.0
Ashraf Amaya,1,1,100.0
Scott Burrell,187,532,35.15
Shawn Bradley,3,25,12.0
Kevin Johnson,81,220,36.82
Reggie Slater,0,2,0.0
Chris Jent,2,3,66.67
Chuck Person,169,521,32.44
Mark Jackson,406,1140,35.61
Othella Harrington,0,11,0.0
George McCloud,456,1256,36.31
Bo Outlaw,3,26,11.54
David Wesley,904,2491,36.29
Dexter Boney,0,4,0.0
Gary Grant,18,59,30.51
Robert Pack,48,157,30.57
Terry Dehere,112,316,35.44
Matt Maloney,396,1078,36.73
Clar. Weatherspoon,0,6,0.0
Steve Kerr,341,794,42.95
Hakeem Olajuwon,7,38,18.42
Cory Alexander,192,548,35.04
Vin Baker,20,92,21.74
Dennis Scott,357,941,37.94
Drew Barry,19,54,35.19
Terrell Brandon,216,606,35.64
Billy Owens,63,184,34.24
Kurt Thomas,6,26,23.08
Donald Royal,0,2,0.0
Kevin Garnett,159,569,27.94
Rick Brunson,86,251,34.26
Chris Carr,129,371,34.77
Moochie Norris,105,365,28.77
Anthony Parker,555,1370,40.51
Lionel Simmons,7,26,26.92
Kenny Anderson,268,740,36.22
James Scott,0,4,0.0
Loren Meyer,5,13,38.46
Michael Cage,0,1,0.0
Alan Henderson,4,23,17.39
Anthony Johnson,313,868,36.06
Adonal Foyle,0,2,0.0
Kendall Gill,146,511,28.57
Derek Grimm,4,10,40.0
Jerry Stackhouse,784,2577,30.42
Lawrence Moten,35,123,28.46
Doug Christie,654,1883,34.73
Jamie Watson,4,12,33.33
Corliss Williamson,5,40,12.5
Tom Hammonds,0,2,0.0
Haywoode Workman,29,88,32.95
Rasheed Wallace,1035,3067,33.75
Dee Brown,328,899,36.48
Latrell Sprewell,669,1961,34.12
Frank Brickowski,5,18,27.78
Joe Smith,22,95,23.16
Corey Beck,3,6,50.0
Darrell Armstrong,819,2521,32.49
Dickey Simpkins,1,8,12.5
Damon Stoudamire,997,2846,35.03
Derrick McKey,37,127,29.13
Jerome Kersey,20,95,21.05
Antonio Lang,0,6,0.0
Derek Anderson,581,1693,34.32
Jaren Jackson,339,949,35.72
Jason Sasser,1,3,33.33
Donnie Boyce,1,11,9.09
Voshon Lenard,842,2197,38.32
Eric Snow,51,247,20.65
Maurice Taylor,5,31,16.13
Stephon Marbury,867,2744,31.6
Donald Whiteside,12,37,32.43
Jermaine O'Neal,12,99,12.12
Brooks Thompson,88,229,38.43
Kenny Smith,48,113,42.48
Elmer Bennett,3,8,37.5
Steve Hamer,0,2,0.0
Anthony Goldwire,150,396,37.88
A.C. Green,2,37,5.41
Rafael Addison,8,20,40.0
Ruben Nembhard,0,6,0.0
Michael Finley,1355,3620,37.43
Steven Smith,673,1803,37.33
Sarunas Marciulionis,9,28,32.14
Aaron McKie,330,933,35.37
Darrin Hancock,0,1,0.0
Austin Croshere,395,1137,34.74
Randy Brown,6,41,14.63
Adam Keefe,1,9,11.11
,125,381,32.81
Duane Ferrell,16,42,38.1
Bryant Reeves,2,20,10.0
Priest Lauderdale,0,1,0.0
Christian Laettner,55,206,26.7
Allan Houston,855,2128,40.18
Buck Williams,0,1,0.0
Sean Elliott,193,514,37.55
John Starks,472,1374,34.35
Brett Szabo,0,1,0.0
Fred Hoiberg,353,886,39.84
Mark Strickland,2,9,22.22
Kelvin Cato,1,13,7.69
Micheal Williams,1,6,16.67
Kevin Edwards,23,66,34.85
Nick Van Exel,1018,2836,35.9
Todd Day,197,535,36.82
Gary Trent,4,39,10.26
Patrick Ewing,2,17,11.76
Chris Anstey,4,26,15.38
Mark Davis,23,95,24.21
Armen Gilliam,0,6,0.0
Jerome Williams,1,22,4.55
Matt Bullard,338,849,39.81
Jamal Mashburn,509,1408,36.15
Dominique Wilkins,71,235,30.21
Rodney Rogers,513,1487,34.5
J.R. Reid,4,16,25.0
Dale Ellis,396,1009,39.25
Derrick Coleman,178,581,30.64
Tyus Edney,10,54,18.52
Nick Anderson,447,1306,34.23
Otis Thorpe,0,10,0.0
Gaylon Nickerson,0,2,0.0
Dontonio Wingfield,20,56,35.71
Sean Rooks,1,7,14.29
Tony Massenburg,1,5,20.0
Brad Lohaus,3,12,25.0
Popeye Jones,10,34,29.41
Charles O'Bannon,0,4,0.0
Tyrone Corbin,169,522,32.38
Jon Barry,520,1309,39.72
