player1_name,fgm,fga,fg_pct
Reggie Miller,3498,7829,44.68
Terry Mills,587,1370,42.85
Michael Smith,538,1029,52.28
Eric Williams,1412,3430,41.17
Carl Herrera,340,794,42.82
Shandon Anderson,1897,4145,45.77
Bobby Phills,890,2019,44.08
Lloyd Daniels,47,143,32.87
Terry Cummings,602,1302,46.24
Ledell Eackles,66,157,42.04
Sharone Wright,151,375,40.27
Yinka Dare,21,66,31.82
Acie Earl,64,169,37.87
George Lynch,1396,3233,43.18
Bobby Hurley,109,290,37.59
Lou Roe,14,48,29.17
Anthony Mason,1923,3869,49.7
Jayson Williams,598,1300,46.0
Felton Spencer,220,480,45.83
Anthony Peeler,1922,4629,41.52
Stacey Augmon,952,2183,43.61
Tracy McGrady,6407,14803,43.28
Darvin Ham,403,779,51.73
Ashraf Amaya,11,35,31.43
Martin Muursepp,118,282,41.84
Cuonzo Martin,0,7,0.0
Shawn Bradley,1634,3499,46.7
Ben Wallace,2479,5230,47.4
Scott Burrell,476,1223,38.92
Kevin Johnson,586,1253,46.77
Reggie Slater,412,856,48.13
Robert Parish,70,144,48.61
Chris Jent,2,6,33.33
Chuck Person,282,793,35.56
Othella Harrington,1836,3649,50.32
Mark Jackson,1576,3682,42.8
George McCloud,1168,2900,40.28
Bo Outlaw,1492,2614,57.08
David Wesley,3493,8299,42.09
Dexter Boney,3,11,27.27
Gary Grant,87,210,41.43
Ed Stokes,1,3,33.33
Robert Pack,665,1662,40.01
Terry Dehere,338,866,39.03
Matt Maloney,771,1887,40.86
Clar. Weatherspoon,1721,3622,47.52
Ennis Whatley,2,4,50.0
Hakeem Olajuwon,2084,4173,49.94
Steve Kerr,795,1717,46.3
Vin Baker,2715,5595,48.53
Cory Alexander,484,1247,38.81
Roy Rogers,246,512,48.05
Dennis Scott,793,2006,39.53
Drew Barry,35,85,41.18
Kurt Thomas,3309,6820,48.52
Terrell Brandon,2105,4662,45.15
Kevin Garnett,9543,19225,49.64
Donald Royal,82,204,40.2
Billy Owens,833,1868,44.59
Rick Brunson,361,969,37.25
Chris Carr,549,1329,41.31
Moochie Norris,724,1799,40.24
Anthony Parker,1549,3469,44.65
Lionel Simmons,41,118,34.75
Loren Meyer,95,237,40.08
Michael Cage,108,219,49.32
Kenny Anderson,1784,4141,43.08
James Scott,0,8,0.0
Alan Henderson,1601,3376,47.42
Anthony Johnson,1575,3812,41.32
Eric Riley,69,161,42.86
Kevin Ollie,754,1841,40.96
Adonal Foyle,1081,2287,47.27
Kendall Gill,2252,5457,41.27
Derek Grimm,4,12,33.33
Jerry Stackhouse,4397,10816,40.65
Lawrence Moten,157,408,38.48
Derrick Alston,0,5,0.0
Corliss Williamson,3168,6519,48.6
Doug Christie,2632,6243,42.16
Tom Hammonds,400,810,49.38
Jamie Watson,32,73,43.84
Haywoode Workman,108,266,40.6
Rasheed Wallace,5773,12492,46.21
Dee Brown,602,1568,38.39
Latrell Sprewell,3813,9105,41.88
Joe Smith,3407,7520,45.31
Frank Brickowski,27,64,42.19
Corey Beck,93,197,47.21
Darrell Armstrong,2382,5905,40.34
Dickey Simpkins,303,702,43.16
Bob McCann,0,1,0.0
Damon Stoudamire,3557,8766,40.58
Derrick McKey,457,1100,41.55
Jerome Kersey,542,1309,41.41
Antonio Lang,70,169,41.42
Derek Anderson,2153,5267,40.88
Jaren Jackson,700,1808,38.72
Jason Sasser,14,34,41.18
Eric Snow,1978,4680,42.26
Donnie Boyce,16,49,32.65
Voshon Lenard,2256,5423,41.6
Shawnelle Scott,74,159,46.54
Maurice Taylor,2245,4798,46.79
Donald Whiteside,19,57,33.33
Stephon Marbury,5153,12042,42.79
Keith Tower,3,8,37.5
Jermaine O'Neal,4687,10152,46.17
Steve Henson,14,28,50.0
Brooks Thompson,161,394,40.86
Kenny Smith,83,196,42.35
Elmer Bennett,4,13,30.77
Steve Hamer,26,50,52.0
A.C. Green,782,1741,44.92
Anthony Goldwire,445,1103,40.34
Rafael Addison,48,117,41.03
Ruben Nembhard,13,28,46.43
Michael Finley,5838,13304,43.88
Steven Smith,2527,5722,44.16
Sarunas Marciulionis,35,96,36.46
Aaron McKie,1764,4079,43.25
Darrin Hancock,18,38,47.37
Travis Williams,57,124,45.97
Austin Croshere,1355,3321,40.8
Randy Brown,590,1501,39.31
Adam Keefe,435,904,48.12
Pete Myers,2,6,33.33
,405,975,41.54
Duane Ferrell,178,397,44.84
Bryant Reeves,1390,2900,47.93
Priest Lauderdale,93,202,46.04
Christian Laettner,2062,4279,48.19
Allan Houston,3867,8717,44.36
Buck Williams,236,450,52.44
Sean Elliott,693,1700,40.76
John Starks,1441,3647,39.51
Brett Szabo,46,106,43.4
Mark Strickland,476,959,49.64
Fred Hoiberg,890,2070,43.0
Kelvin Cato,1032,2011,51.32
Micheal Williams,22,62,35.48
Mike Brown,5,12,41.67
Kevin Edwards,170,475,35.79
Nick Van Exel,3155,7841,40.24
Todd Day,525,1321,39.74
Patrick Ewing,1810,3879,46.66
Gary Trent,1365,2772,49.24
Chris Anstey,254,622,40.84
Pervis Ellison,64,130,49.23
Armen Gilliam,762,1608,47.39
Mark Davis,382,841,45.42
Jerome Williams,1279,2527,50.61
Matt Bullard,588,1420,41.41
Jamal Mashburn,2716,6522,41.64
Dominique Wilkins,412,1000,41.2
Dan Schayes,208,510,40.78
Rodney Rogers,2470,5630,43.87
Brian Grant,2118,4367,48.5
J.R. Reid,318,704,45.17
Dale Ellis,954,2172,43.92
Derrick Coleman,1917,4417,43.4
Tyus Edney,264,665,39.7
Nick Anderson,1165,2879,40.47
Otis Thorpe,1045,2039,51.25
Gaylon Nickerson,4,12,33.33
Dontonio Wingfield,62,147,42.18
Jimmy King,2,6,33.33
Tony Massenburg,1031,2179,47.32
Sean Rooks,663,1556,42.61
Stephen Howard,68,124,54.84
Kevin Salvadori,12,42,28.57
Popeye Jones,601,1376,43.68
Brad Lohaus,7,27,25.93
Charles O'Bannon,50,125,40.0
Tyrone Corbin,778,1863,41.76
Jon Barry,1143,2634,43.39
Hersey Hawkins,1014,2296,44.16
DeJuan Wheat,93,237,39.24
Eddie Jones,4032,9283,43.43
Doug Overton,341,846,40.31
Kevin Willis,1817,3945,46.06
Lindsey Hunter,2158,5640,38.26
Eddie Johnson,403,967,41.68
Tony Smith,131,336,38.99
Matt Steigenga,1,4,25.0
Jim Jackson,2754,6581,41.85
Glenn Robinson,4060,8843,45.91
Shareef Abdur-Rahim,4882,10344,47.2
John Thomas,201,403,49.88
Clyde Drexler,863,2008,42.98
Mario Elie,957,2086,45.88
Johnny Taylor,86,222,38.74
Richard Manning,31,83,37.35
Matt Fish,1,3,33.33
Randolph Childress,11,30,36.67
Alvin Williams,1520,3627,41.91
Sam Cassell,4698,10296,45.63
Adrian Caldwell,39,88,44.32
Robert Horry,1706,4145,41.16
Avery Johnson,1739,3699,47.01
Clifford Rozier,77,163,47.24
Mark Hendrickson,125,298,41.95
Tim Hardaway,2206,5473,40.31
Kevin Duckworth,44,99,44.44
Tom Gugliotta,1794,3974,45.14
Brent Scott,7,15,46.67
Lorenzo Williams,38,55,69.09
Tim Breaux,4,11,36.36
Zan Tabak,264,557,47.4
Scott Williams,954,2087,45.71
Shane Heal,29,112,25.89
Derek Fisher,3814,9473,40.26
Joe Dumars,835,1966,42.47
Muggsy Bogues,530,1171,45.26
Blue Edwards,479,1103,43.43
Bobby Jackson,2568,6152,41.74
Byron Scott,153,362,42.27
Joe Courtney,11,29,37.93
David Benoit,216,534,40.45
Tracy Moore,30,77,38.96
Detlef Schrempf,1261,2669,47.25
Erick Strickland,1133,2927,38.71
Litterial Green,30,77,38.96
David Wood,20,37,54.05
Charles Barkley,1082,2275,47.56
Ed Pinckney,21,38,55.26
Mookie Blaylock,1654,4161,39.75
John Wallace,1046,2268,46.12
James Robinson,414,1053,39.32
Chris Childs,862,2166,39.8
Terry Davis,165,323,51.08
Marko Milic,46,83,55.42
Toni Kukoc,2350,5340,44.01
Jerome Allen,64,183,34.97
